n,E(K)
2,0
4,0.6666666666666666666666666667
8,1.485714285714285714285714286
16,1.776534576534576534576534577
32,1.882352887938999307563502446
64,1.939393939393939359016793842
128,1.969230769230769230769230769
256,1.984496124031007751937984496
512,1.992217898832684824902723739
1024,1.996101364522417153996101362
2048,1.998048780487804878048780489
4096,1.999023914104441190824792578
8192,1.999511837930192824017573832
16384,1.999755889173684852923227149
32768,1.999877937137625877326823316
65536,1.999938966706338307546766761
131072,1.999969482887529181988800221
262144,1.999984741327351933655291327
524288,1.999992370634572469434854758
1048576,1.999996185310010318736422089
